address,source,name,creation_date
POINT E RUE DE SAINT LOUIS...,http://creationdentreprise.sn/senfinances-holding-sasu,SEN'FINANCES HOLDING - SASU,11/11/2016
6 RUE GALLIENI,http://creationdentreprise.sn/diarama-asset-management-senegal-suarl,DIARAMA ASSET MANAGEMENT SENEGAL- SUARL,22/11/2016
4 ROUTE DE LA CORNICHE OUEST...,http://creationdentreprise.sn/societe-residentielle-de-lafrique-de-louest-sarl-srao-sarl,SOCIETE RESIDENTIELLE DE L'AFRIQUE DE L'OUEST -SARL / SRAO -SARL,21/11/2016
MERMOZ PYROTECHNIE VILLA N°...,http://creationdentreprise.sn/bb-international-suarl,B&B INTERNATIONAL -SUARL,16/11/2016
LIBERTE 6 EXTENSION N°19,http://creationdentreprise.sn/sen-global-technology-sas-sen-gt-sas,SEN GLOBAL TECHNOLOGY - SAS/ SEN GT -SAS,21/11/2016
63 AVENUE ABDOU KARIM BOURGI,http://creationdentreprise.sn/new-energy-africa-sarl-nea-sarl,NEW ENERGY FOR AFRICA - SARL / NEA- SARL,21/11/2016
53 RUE TOLBIAC,http://creationdentreprise.sn/nouvelle-vision-de-la-construction-et-des-services-suarl-nvcs-suarl,NOUVELLE VISION DE LA CONSTRUCTION ET DES SERVICES - SUARL / NVCS-SUARL,07/11/2016
PATTE D'OIE BUILDERS...,http://creationdentreprise.sn/high-business-consulting-services-sarl-hbc-services-sarl,HIGH BUSINESS CONSULTING SERVICES- SARL / HBC SERVICES -SARL,15/11/2016
6 RUE SALVA X AMADOU ASSANE...,http://creationdentreprise.sn/ds-consulting-afrique-sas,DS CONSULTING AFRIQUE- SAS,16/11/2016
1 KAWSAR SIPRES 1 SUD FOIRE,http://creationdentreprise.sn/al-bounaya-mat-suarl,AL BOUNAYA M.A.T. - SUARL,15/11/2016
80 AVENUE JEAN 23,http://creationdentreprise.sn/city-concept-consulting-suarl,CITY CONCEPT CONSULTING- SUARL,15/11/2016
POINT E BOULEVARD DE L'...,http://creationdentreprise.sn/lhorizon-dynasty-senegal-sarl,L'HORIZON DYNASTY SENEGAL- SARL,17/11/2016
HANN MARISTES N° 65/D 18155,http://creationdentreprise.sn/societe-generale-dhydrocarbure-sa-gyl-oil-sa,SOCIETE GENERALE D'HYDROCARBURE - SA/ GYL OIL- SA,23/11/2016
RUE DE REIMS X DIAL DIOP,http://creationdentreprise.sn/sarre-voyages-sarl,SARRE VOYAGES - SARL,23/11/2016
66 BOULEVARD DE LA REPUBLIQUE,http://creationdentreprise.sn/kah-sas,KAH - SAS,16/11/2016
7 AVENUE LEOPOLD SEDAR...,http://creationdentreprise.sn/kash-kash-senegal-sa,KASH KASH SENEGAL- SA,23/11/2016
POINT E RESIDENCE SOUKANE RUE...,http://creationdentreprise.sn/drilleex-sa,DRILLEEX -SA,24/11/2016
SACRE COEUR III VILLA N° 8804,http://creationdentreprise.sn/ttc-tous-travaux-compris-sarl,TTC TOUS TRAVAUX COMPRIS- SARL,23/11/2016
283 ROUTE DU FRONT DE TERRE,http://creationdentreprise.sn/db-consulting-senegal-sarl,DB CONSULTING SENEGAL- SARL,19/12/2016
10 BLD MARTIN LUTHER KING...,http://creationdentreprise.sn/roi-riviere-sarl,ROI RIVIERE- SARL,14/11/2016
HLM 5 VILLA N° 2060,http://creationdentreprise.sn/atlas-services-sa,ATLAS SERVICES - SA,11/11/2016
CITE ELEVAGE MAMELLES...,http://creationdentreprise.sn/fitness-boutique-senegal-suarl,FITNESS BOUTIQUE SENEGAL - SUARL,24/11/2016
CITE LEOPOLD SEDAR SENGHOR...,http://creationdentreprise.sn/agence-colibri-sarl,AGENCE COLIBRI -SARL,07/11/2016
19 BLD DJILY MBAYE,http://creationdentreprise.sn/air-terre-mer-travel-sarl-atmt-sarl,AIR TERRE MER TRAVEL -SARL / ATMT SARL,07/11/2016
MAMELLES AVIATION OUAKAM...,http://creationdentreprise.sn/societe-de-courtage-et-conseils-en-assurances-sascca-sa,SOCIETE DE COURTAGE ET CONSEILS EN ASSURANCES - SA/SCCA -SA,10/10/2016
NOUVEAU QUAI DE PECHE MOLE 10...,http://creationdentreprise.sn/moonika-sa,MOONIKA -SA,23/11/2016
FASS CASIER VILLA N° 34,http://creationdentreprise.sn/flash-imprim-suarl,FLASH IMPRIM - SUARL,07/11/2016
31 RUE MOUSSE DIOP / 22793,http://creationdentreprise.sn/sendiam-sarl,SENDIAM -SARL,07/11/2016
BOULEVARD MARTIN LUTHER KING...,http://creationdentreprise.sn/groupe-senegal-marine-services-sa-gsms-sa,GROUPE SENEGAL MARINE SERVICES - SA / GSMS SA,15/11/2016
4 RUE MAGE X PARCHAPPE,http://creationdentreprise.sn/imhotel-sa,IMHOTEL - SA,16/11/2016
LOT 28 OUAKAM CITE...,http://creationdentreprise.sn/global-food-sarl,GLOBAL FOOD - SARL,14/11/2016
IMMEUBLE FAHD BD DJILY MBAYE...,http://creationdentreprise.sn/societe-commerciale-de-transit-et-de-transport-sarl-scom-2t-sarl,SOCIETE COMMERCIALE DE TRANSIT ET DE TRANSPORT SARL - SCOM 2T SARL,11/11/2016
PARCELLES ASSAINIES UNITE 14...,http://creationdentreprise.sn/touba-globa-trading-sarl-tgt-sarl,TOUBA GLOBA TRADING - SARL/ TGT -SARL,11/11/2016
5 RUE MOHAMED S/C EDEN PARK,http://creationdentreprise.sn/fast-sport-sarl,FAST SPORT -SARL,23/11/2016
ALMADIES ROUTE DU MERIDIEN...,http://creationdentreprise.sn/societe-civile-immobiliere-a2-sci-a2,SOCIETE CIVILE IMMOBILIERE A2 - SCI A2,22/11/2016
POINT E RUE A VILLA BADIANE...,http://creationdentreprise.sn/societe-civile-immobiliere-kalame-sci-kalame,SOCIETE CIVILE IMMOBILIERE KALAME - SCI KALAME,22/11/2016
GRAND YOFF ARAFAT VILLA N° 61,http://creationdentreprise.sn/comptoir-commercial-sokhna-mariama-sarl-ccsm-sarl,COMPTOIR COMMERCIAL SOKHNA MARIAMA SARL - CCSM SARL,21/11/2016
HLM GRAND YOFF N° 1228 REZ...,http://creationdentreprise.sn/bertani-arredamenti-made-italy-sarl,BERTANI ARREDAMENTI MADE IN ITALY - SARL,15/11/2016
GUEDIAWAYE FITH MITH VILLA N...,http://creationdentreprise.sn/marico-sarl,MARICO -SARL,21/11/2016
